"filename", "language", "JavaScript", "CSS", "Markdown", "XML", "JSON", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\activeMachines.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\authenticationPic.svg", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\authenticationTick.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\backgroundDesktop.svg", "XML", 0, 0, 0, 504, 0, 0, 0, 0, 1, 505
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\backgroundMobile.svg", "XML", 0, 0, 0, 471, 0, 0, 0, 0, 1, 472
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\backgroundTablet.svg", "XML", 0, 0, 0, 471, 0, 0, 0, 0, 1, 472
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\blueSemiCircle.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\blueSemiCircleToLeft.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\bottomBadge.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\car.svg", "XML", 0, 0, 0, 94, 0, 0, 0, 0, 1, 95
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\cart.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\circle.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\closeBox.svg", "XML", 0, 0, 0, 70, 0, 0, 0, 0, 1, 71
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coin.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinConfirm.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinJam.svg", "XML", 0, 0, 0, 798, 0, 0, 0, 0, 1, 799
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinLanding.svg", "XML", 0, 0, 0, 813, 0, 0, 0, 0, 1, 814
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinRequest.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\coinShow.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\columnLock.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\NewHomePage\contactUsIcon.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
